Tabelle 1
"Lastenheft GAWT L02 Projekt ""Datenanalyse""";;;;;
Stand: 2022-11-25;;;;;
;;;;;
Hinweis:;;;;;
"Zum Bestehen müssen alle ""MUSS""-Anforderungen erfüllt sein!";;;;;
;;;;;
ID;Priorität (MUSS / SOLL / KANN);Datensatz;Beschreibung;Auswertung;erreichbare Zusatzpunkte in %
x R2.10;KANN;2;Für jede Variable ist die mittlere Abweichung vom Median angegeben.;Bericht;1
x R2.11;SOLL;2;Für jede Variable ist die Stichprobenvarianz angegeben.;Bericht;1
x R2.12;SOLL;2;Für jede Variable ist der Variationskoeffizient angegeben.;Bericht;1
x R2.13;SOLL;2;Für jede Variable ist ein Box-Whisker-Plot erstellt.;Bericht;2
x R2.14;SOLL;2;Ein Scatterplot der Daten liegt vor, Achsenbeschriftungen sind vorhanden.;Bericht;2
x R2.15;SOLL;2;Eine weitere geeignete grafische Darstellung der Daten samt Beschriftung + Beschreibung liegt vor.;Bericht;2
x R2.16;SOLL;2;Eine textuelle Beschreibung der Daten als Zusammenfassung liegt vor.;Bericht;3
x R2.17;KANN;2;Für jede Variable sind sämtliche Quartile und Dezile angegeben.;Bericht;2
x R2.18;KANN;2;Für jede Variable ist der Quartilsabstand R_Q0.5 angegeben.;Bericht;1
x R2.19;KANN;2;Die Kovarianz ist angegeben.;Bericht;1
x R2.20;KANN;2;Der Korrelationskoeffizient ist angegeben.;Bericht;1
;;;;;
x R3.1;SOLL;3;"Es liegt eine textuelle Beschreibung des gegebenen Datensatzes vor, die folgende Fragen beantwortet:
* Welches Wissen ist über Struktur und Inhalt des Datensatzes vor der weiteren Auswertung vorhanden? 
* Woher stammen die Daten (Quellenangabe)?
* In welchem Format liegen die Daten vor (Anzahl Dateien, Kodierung, ...)?";Bericht;2
x R3.2;SOLL;3;Die gegebenen Daten liegen als zusammengeführte Datei im .csv-Format vor.;Datei;4
x R3.3;SOLL;3;Die eingelesenen Daten liegen in bereinigter Form vor.;Datei;2
x R3.4;SOLL;3;Ergriffene Maßnahmen zur Datenbereinigung sind dokumentiert.;Bericht / Code / Datei;2
x R3.5;SOLL;3;Die bereinigten Daten liegen als konsolidierte Excel-Datei im .xlsx-Format vor.;Datei;1
x R3.6;SOLL;3;Die verwendete Software und die genutzten Funktionen sind dokumentiert.;Bericht / Code / Datei;2
x R3.7;SOLL;3;Zu jeder Variable ist eine Urliste im .csv-Format erstellt.;Datei;1
x R3.8;SOLL;3;Zu jeder Variable ist eine Rangliste im .csv-Format erstellt.;Datei;1
x R3.9;SOLL;3;Für jede Variable sind Modus, arithmetischer Mittelwert und Median angegeben.;Bericht;1
x R3.10;KANN;3;Für jede Variable ist die Spannweite angegeben.;Bericht;1
x R3.11;KANN;3;Für jede Variable ist die mittlere Abweichung vom Median angegeben.;Bericht;1
x R3.12;SOLL;3;Für jede Variable ist die Stichprobenvarianz angegeben.;Bericht;1
x R3.13;SOLL;3;Für jede Variable ist der Variationskoeffizient angegeben.;Bericht;1
x R3.14;SOLL;3;Für jede Variable ist ein Box-Whisker-Plot erstellt.;Bericht;2
x R3.15;SOLL;3;Ein Scatterplot der Daten liegt vor, Achsenbeschriftungen sind vorhanden.;Bericht;2
x R3.16;SOLL;3;Ein Curvefitting wurde durchgeführt, das Ergebnis ist im Scatterplot eingezeichnet.;Bericht;4
x R3.17;SOLL;3;Die per Curvefitting ermittelte Funktion ist mathematisch angegeben.;Bericht;2
x R3.18;SOLL;3;Die zu sehenden Daten im Scatterplot sind in einer Legende angegeben.;Bericht;1
x R3.19;SOLL;3;Eine textuelle Beschreibung der Daten als Zusammenfassung liegt vor.;Bericht;3
x R3.20;KANN;3;Für jede Variable sind sämtliche Quartile und Dezile angegeben.;Bericht;2
x R3.21;KANN;3;Für jede Variable ist der Quartilsabstand R_Q0.5 angegeben.;Bericht;1
x R3.22;KANN;3;Die Kovarianz ist angegeben.;Bericht;1
x R3.23;KANN;3;Der Korrelationskoeffizient ist angegeben.;Bericht;1
;;;;;
(R4Datensatz muss von 2D auf 1D gebracht werden) R4.1;KANN;4;Es liegen (z.B. mit Phybox) selbst generierte 1D-Daten mit mind. 100 Datenpunkten im .csv-Format vor.;Datei;2
x R4.2;KANN;4;Die eingelesenen Daten liegen in bereinigter Form vor.;Datei;1
x R4.3;KANN;4;Ergriffene Maßnahmen zur Datenbereinigung sind dokumentiert.;Bericht / Code / Datei;1
(Code Kommentare fehlen)R4.4;KANN;4;Die verwendete Software und die genutzten Funktionen sind dokumentiert.;Bericht / Code / Datei;1
(Modus fehlt)R4.5;KANN;4;Es sind Modus, arithmetischer Mittelwert und Median angegeben.;Bericht;1
x R4.6;KANN;4;Die Stichprobenvarianz ist angegeben.;Bericht;1
x R4.7;KANN;4;Ein Box-Whisker-Plot liegt vor.;Bericht;1
x R4.8;KANN;4;Eine textuelle Beschreibung der Daten als Zusammenfassung liegt vor.;Bericht;2
